,name,lang,stars,commits,issues,tags,releases,last_commit,description,url
4,opencv/opencv,c++,47124,29012,6973,97,46,2020-07-28 17:25:20+00:00,Open Source Computer Vision Library,https://github.com/opencv/opencv
5,bitcoin/bitcoin,c++,44329,25147,5596,235,32,2020-07-28 15:51:58+00:00,Bitcoin Core integration/staging tree,https://github.com/bitcoin/bitcoin
6,protocolbuffers/protobuf,c++,43003,7576,4021,86,54,2020-07-27 17:42:22+00:00,Protocol Buffers - Google's data interchange format,https://github.com/protocolbuffers/protobuf
7,pytorch/pytorch,c++,40542,28564,15338,48,28,2020-07-29 01:38:26+00:00,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch
8,tesseract-ocr/tesseract,c++,35657,4620,1878,41,8,2020-07-17 13:55:51+00:00,Tesseract Open Source OCR Engine (main repository),https://github.com/tesseract-ocr/tesseract
9,x64dbg/x64dbg,c++,35342,4450,1832,29,3,2020-07-29 02:06:38+00:00,An open-source x64/x32 debugger for windows.,https://github.com/x64dbg/x64dbg
10,godotengine/godot,c++,32158,29648,23765,28,27,2020-07-28 21:42:30+00:00,Godot Engine – Multi-platform 2D and 3D game engine,https://github.com/godotengine/godot
11,microsoft/PowerToys,c++,31416,3602,3930,17,17,2020-07-28 22:02:09+00:00,Windows system utilities to maximize productivity,https://github.com/microsoft/PowerToys
12,BVLC/caffe,c++,30621,4156,4716,14,14,2020-02-13 07:20:36+00:00,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe
13,ariya/phantomjs,c++,27762,1958,4716,23,0,2020-07-13 15:08:08+00:00,Scriptable Headless Browser,https://github.com/ariya/phantomjs
14,grpc/grpc,c++,27024,45922,8737,191,149,2020-07-28 23:22:30+00:00,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",https://github.com/grpc/grpc
15,rethinkdb/rethinkdb,c++,23847,33430,6270,138,68,2020-07-14 08:53:39+00:00,The open-source database for the realtime web.,https://github.com/rethinkdb/rethinkdb
16,ocornut/imgui,c++,21987,5837,2659,66,66,2020-07-24 11:00:56+00:00,Dear ImGui: Bloat-free Immediate Mode Graphical User interface for C++ with minimal dependencies,https://github.com/ocornut/imgui
17,google/leveldb,c++,21324,336,585,20,20,2020-07-15 16:20:04+00:00,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,https://github.com/google/leveldb
18,cmderdev/cmder,c++,21218,1156,1896,28,26,2020-07-18 12:58:53+00:00,Lovely console emulator package for Windows,https://github.com/cmderdev/cmder
19,aria2/aria2,c++,20546,5271,1379,150,22,2020-06-25 02:42:25+00:00,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",https://github.com/aria2/aria2
20,microsoft/calculator,c++,20043,579,629,0,0,2020-07-22 20:00:44+00:00,Windows Calculator: A simple yet powerful calculator that ships with Windows,https://github.com/microsoft/calculator
21,nlohmann/json,c++,19658,3822,1712,45,33,2020-07-28 11:25:04+00:00,JSON for Modern C++,https://github.com/nlohmann/json
22,dmlc/xgboost,c++,19491,4314,3552,23,23,2020-07-27 07:55:35+00:00,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",https://github.com/dmlc/xgboost
23,emscripten-core/emscripten,c++,19385,21233,5531,348,0,2020-07-28 23:56:42+00:00,Emscripten: An LLVM-to-Web Compiler,https://github.com/emscripten-core/emscripten
24,apache/incubator-mxnet,c++,18881,11166,9105,24,22,2020-07-29 01:53:29+00:00,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",https://github.com/apache/incubator-mxnet
25,mongodb/mongo,c++,18283,53083,0,829,0,2020-07-28 23:56:02+00:00,The MongoDB Database,https://github.com/mongodb/mongo
26,CMU-Perceptual-Computing-Lab/openpose,c++,18005,624,1403,14,14,2020-07-14 15:47:20+00:00,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",https://github.com/CMU-Perceptual-Computing-Lab/openpose
27,facebook/rocksdb,c++,17410,9252,1979,200,125,2020-07-28 20:10:44+00:00,"A library that provides an embeddable, persistent key-value store for fast storage.",https://github.com/facebook/rocksdb
28,osquery/osquery,c++,16969,5560,2497,105,104,2020-07-26 20:38:59+00:00,"SQL powered operating system instrumentation, monitoring, and analytics.",https://github.com/osquery/osquery
29,microsoft/CNTK,c++,16822,16116,3246,39,32,2020-03-31 15:55:14+00:00,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",https://github.com/microsoft/CNTK
0,shadowsocks/shadowsocks-windows,c#,50066,1422,2522,54,46,2020-07-20 09:42:06+00:00,"If you want to keep a secret, you must also hide it from yourself.",https://github.com/shadowsocks/shadowsocks-windows
1,CodeHubApp/CodeHub,c#,22886,593,620,39,4,2020-05-06 02:29:18+00:00,CodeHub is an iOS application written using Xamarin,https://github.com/CodeHubApp/CodeHub
2,PowerShell/PowerShell,c#,20835,8196,7872,90,78,2020-07-26 18:53:56+00:00,PowerShell for every system!,https://github.com/PowerShell/PowerShell
3,dotnet/aspnetcore,c#,18524,44059,17149,116,88,2020-07-29 01:22:44+00:00,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",https://github.com/dotnet/aspnetcore
4,Wox-launcher/Wox,c#,17818,2732,2701,42,38,2020-07-27 18:23:02+00:00,"Launcher for Windows, an alternative to Alfred and Launchy.",https://github.com/Wox-launcher/Wox
5,0xd4d/dnSpy,c#,15243,3894,1429,2,2,2020-07-17 20:53:44+00:00,.NET debugger and assembly editor,https://github.com/0xd4d/dnSpy
6,mxgmn/WaveFunctionCollapse,c#,14902,114,38,0,0,2020-07-18 10:50:09+00:00,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics.,https://github.com/mxgmn/WaveFunctionCollapse
7,dotnet-architecture/eShopOnContainers,c#,14694,3533,884,15,7,2020-07-28 12:06:43+00:00,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET Core 3.0, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",https://github.com/dotnet-architecture/eShopOnContainers
8,ShareX/ShareX,c#,13336,6196,4115,64,64,2020-07-28 14:40:14+00:00,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",https://github.com/ShareX/ShareX
9,dotnet/roslyn,c#,13242,62142,22820,137,42,2020-07-29 02:04:44+00:00,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,https://github.com/dotnet/roslyn
10,2dust/v2rayN,c#,13029,265,851,46,45,2020-07-28 05:03:58+00:00,,https://github.com/2dust/v2rayN
11,thangchung/awesome-dotnet-core,c#,12684,1229,58,0,0,2020-07-26 14:12:11+00:00,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",https://github.com/thangchung/awesome-dotnet-core
12,StackExchange/Dapper,c#,12600,1408,1010,61,0,2020-06-20 13:40:54+00:00,Dapper - a simple object mapper for .Net,https://github.com/StackExchange/Dapper
13,NickeManarin/ScreenToGif,c#,11842,719,566,55,55,2020-07-15 12:37:11+00:00,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",https://github.com/NickeManarin/ScreenToGif
14,icsharpcode/ILSpy,c#,10688,5952,1655,51,43,2020-07-28 20:24:46+00:00,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",https://github.com/icsharpcode/ILSpy
15,dotnet/efcore,c#,9328,10165,14088,100,74,2020-07-29 00:31:36+00:00,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",https://github.com/dotnet/efcore
16,MaterialDesignInXAML/MaterialDesignInXamlToolkit,c#,9322,2146,1215,26,26,2020-07-26 16:35:18+00:00,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit
17,AvaloniaUI/Avalonia,c#,9127,13224,2407,28,23,2020-07-28 14:04:47+00:00,"Avalonia is a cross-platform XAML-based UI framework providing a flexible styling system and supporting a wide range of Operating Systems such as Windows via .NET Framework and .NET Core, Linux via Xorg, macOS",https://github.com/AvaloniaUI/Avalonia
18,Unity-Technologies/ml-agents,c#,9119,2402,2273,66,44,2020-07-28 21:00:42+00:00,Unity Machine Learning Agents Toolkit,https://github.com/Unity-Technologies/ml-agents
19,mono/mono,c#,8781,122024,4247,458,0,2020-07-28 22:35:45+00:00,"Mono open source ECMA CLI, C# and .NET implementation.",https://github.com/mono/mono
20,aspnetboilerplate/aspnetboilerplate,c#,8587,6525,4664,210,208,2020-07-01 11:19:39+00:00,ASP.NET Boilerplate - Web Application Framework,https://github.com/aspnetboilerplate/aspnetboilerplate
21,OpenRA/OpenRA,c#,8406,27360,8030,374,85,2020-07-28 22:12:39+00:00,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",https://github.com/OpenRA/OpenRA
22,GoogleCloudPlatform/microservices-demo,c#,8278,494,164,7,0,2020-07-15 18:56:37+00:00,"Sample cloud-native application with 10 microservices showcasing Kubernetes, Istio, gRPC and OpenCensus.",https://github.com/GoogleCloudPlatform/microservices-demo
23,SignalR/SignalR,c#,8089,4691,3483,44,30,2020-05-29 23:09:38+00:00,Incredibly simple real-time web for .NET,https://github.com/SignalR/SignalR
24,JamesNK/Newtonsoft.Json,c#,7960,1821,1818,62,62,2020-03-25 20:35:34+00:00,Json.NET is a popular high-performance JSON framework for .NET,https://github.com/JamesNK/Newtonsoft.Json
25,App-vNext/Polly,c#,7806,966,440,29,25,2020-05-02 11:42:54+00:00,"Polly is a .NET resilience and transient-fault-handling library that allows developers to express policies such as Retry, Circuit Breaker, Timeout, Bulkhead Isolation, and Fallback in a fluent and thread-safe manner. From version 6.0.1, Polly targets .NET Standard 1.1 and 2.0+.",https://github.com/App-vNext/Polly
26,dotnet/AspNetCore.Docs,c#,7633,10818,9034,36,36,2020-07-28 13:11:56+00:00,Documentation for ASP.NET Core,https://github.com/dotnet/AspNetCore.Docs
27,AutoMapper/AutoMapper,c#,7353,3621,2534,49,35,2020-07-07 15:00:44+00:00,A convention-based object-object mapper in .NET. ,https://github.com/AutoMapper/AutoMapper
28,restsharp/RestSharp,c#,7343,1790,977,42,22,2020-07-11 09:53:36+00:00,Simple REST and HTTP API Client for .NET,https://github.com/restsharp/RestSharp
29,jellyfin/jellyfin,c#,7278,16806,1990,30,29,2020-07-29 00:01:25+00:00,The Free Software Media System,https://github.com/jellyfin/jellyfin
0,torvalds/linux,c,95029,934997,0,660,0,2020-07-28 18:55:53+00:00,Linux kernel source tree,https://github.com/torvalds/linux
1,netdata/netdata,c,47752,10941,5578,42,35,2020-07-29 01:03:25+00:00,"Real-time performance monitoring, done right! https://www.netdata.cloud",https://github.com/netdata/netdata
2,redis/redis,c,44379,9497,4340,238,1,2020-07-28 19:05:48+00:00,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",https://github.com/redis/redis
3,Genymobile/scrcpy,c,34525,902,1485,17,17,2020-07-07 18:50:09+00:00,Display and control your Android device,https://github.com/Genymobile/scrcpy
4,git/git,c,33478,59933,0,776,0,2020-07-27 01:01:43+00:00,Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documentation/SubmittingPatches procedure for any of your improvements.,https://github.com/git/git
5,php/php-src,c,27870,119813,0,1058,0,2020-07-29 01:51:09+00:00,The PHP Interpreter,https://github.com/php/php-src
6,bilibili/ijkplayer,c,26997,2584,4877,78,0,2018-02-06 10:21:36+00:00,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",https://github.com/bilibili/ijkplayer
7,wg/wrk,c,25713,76,318,20,0,2019-04-18 01:51:32+00:00,Modern HTTP benchmarking tool,https://github.com/wg/wrk
8,obsproject/obs-studio,c,20941,8416,606,120,117,2020-07-28 00:39:49+00:00,OBS Studio - Free and open source software for live streaming and screen recording,https://github.com/obsproject/obs-studio
9,ggreer/the_silver_searcher,c,20640,2055,749,49,0,2020-07-04 19:27:44+00:00,"A code-searching tool similar to ack, but faster.",https://github.com/ggreer/the_silver_searcher
10,FFmpeg/FFmpeg,c,20559,98586,0,335,11,2020-07-28 19:57:50+00:00,Mirror of git://source.ffmpeg.org/ffmpeg.git,https://github.com/FFmpeg/FFmpeg
11,julycoding/The-Art-Of-Programming-By-July,c,19286,3633,127,0,0,2018-06-20 02:30:28+00:00,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售,https://github.com/julycoding/The-Art-Of-Programming-By-July
12,SamyPesse/How-to-Make-a-Computer-Operating-System,c,18881,243,64,12,1,2015-10-29 19:04:29+00:00,How to Make a Computer Operating System in C++,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System
13,tmux/tmux,c,18467,8942,1973,30,30,2020-07-27 09:01:21+00:00,tmux source code,https://github.com/tmux/tmux
14,cfenollosa/os-tutorial,c,18361,147,98,0,0,2018-11-03 00:25:59+00:00,How to create an OS from scratch,https://github.com/cfenollosa/os-tutorial
15,pjreddie/darknet,c,18332,439,2010,0,0,2020-07-19 20:56:14+00:00,Convolutional Neural Networks,https://github.com/pjreddie/darknet
16,curl/curl,c,17698,26009,2376,196,46,2020-07-28 21:51:17+00:00,"A command line tool and library for transferring data with URL syntax, supporting HTTP, HTTPS, FTP, FTPS, GOPHER, TFTP, SCP, SFTP, SMB, TELNET, DICT, LDAP, LDAPS, MQTT, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features",https://github.com/curl/curl
17,stedolan/jq,c,17431,1323,1687,11,9,2020-06-08 16:35:13+00:00,Command-line JSON processor,https://github.com/stedolan/jq
18,libuv/libuv,c,15491,4675,1213,230,0,2020-07-29 00:14:42+00:00,Cross-platform asynchronous I/O,https://github.com/libuv/libuv
19,numpy/numpy,c,14405,23645,8739,174,56,2020-07-28 16:49:18+00:00,The fundamental package for scientific computing with Python.,https://github.com/numpy/numpy
20,Awesome-HarmonyOS/HarmonyOS,c,13725,74,0,0,0,2019-08-25 16:38:35+00:00,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。,https://github.com/Awesome-HarmonyOS/HarmonyOS
21,openssl/openssl,c,13479,26624,4511,314,0,2020-07-28 14:28:06+00:00,TLS/SSL and crypto library,https://github.com/openssl/openssl
22,nothings/stb,c,13249,1940,529,0,0,2020-07-13 11:46:06+00:00,stb single-file public domain libraries for C/C++,https://github.com/nothings/stb
23,vurtun/nuklear,c,13219,1712,659,0,0,2019-12-01 23:01:55+00:00,A single-header ANSI C gui library,https://github.com/vurtun/nuklear
24,radareorg/radare2,c,12864,24484,7487,82,63,2020-07-29 01:35:01+00:00,UNIX-like reverse engineering framework and command-line toolset,https://github.com/radareorg/radare2
25,robertdavidgraham/masscan,c,12863,576,355,8,8,2019-09-22 17:53:17+00:00,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes.",https://github.com/robertdavidgraham/masscan
26,mpv-player/mpv,c,12707,48620,5785,76,76,2020-07-27 16:12:05+00:00,🎥 Command line video player,https://github.com/mpv-player/mpv
27,facebook/zstd,c,12443,7796,735,59,58,2020-07-27 19:59:10+00:00,Zstandard - Fast real-time compression algorithm,https://github.com/facebook/zstd
28,nginx/nginx,c,12321,6729,0,528,0,2020-07-27 13:02:15+00:00,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html",https://github.com/nginx/nginx
29,allinurl/goaccess,c,11836,3165,1613,27,0,2020-07-21 13:04:23+00:00,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,https://github.com/allinurl/goaccess
0,rails/rails,ruby,46088,77387,13939,426,23,2020-07-28 22:19:05+00:00,Ruby on Rails,https://github.com/rails/rails
1,jekyll/jekyll,ruby,40931,11026,4257,143,97,2020-07-23 07:03:51+00:00,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,https://github.com/jekyll/jekyll
2,discourse/discourse,ruby,31215,38579,0,348,0,2020-07-29 01:58:29+00:00,"A platform for community discussion. Free, open, simple.",https://github.com/discourse/discourse
3,fastlane/fastlane,ruby,29345,15517,10785,1105,444,2020-07-28 21:30:04+00:00,🚀 The easiest way to automate building and releasing your iOS and Android apps,https://github.com/fastlane/fastlane
4,huginn/huginn,ruby,29025,3313,1725,0,0,2020-07-22 02:11:07+00:00,Create agents that monitor and act on your behalf.  Your agents are standing by!,https://github.com/huginn/huginn
5,bayandin/awesome-awesomeness,ruby,26366,520,56,0,0,2020-07-04 16:22:45+00:00,A curated list of awesome awesomeness,https://github.com/bayandin/awesome-awesomeness
6,freeCodeCamp/devdocs,ruby,23513,3362,837,0,0,2020-03-22 14:21:16+00:00,API Documentation Browser,https://github.com/freeCodeCamp/devdocs
7,Homebrew/brew,ruby,22478,22015,2612,168,150,2020-07-29 02:03:54+00:00,🍺 The missing package manager for macOS (or Linux),https://github.com/Homebrew/brew
8,gitlabhq/gitlabhq,ruby,22302,104118,0,1215,0,2020-07-29 00:09:37+00:00,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,https://github.com/gitlabhq/gitlabhq
9,tootsuite/mastodon,ruby,21570,9356,5612,153,144,2020-07-28 19:52:35+00:00,"Your self-hosted, globally interconnected microblogging community",https://github.com/tootsuite/mastodon
10,rapid7/metasploit-framework,ruby,21089,57266,4023,684,0,2020-07-28 22:31:21+00:00,Metasploit Framework,https://github.com/rapid7/metasploit-framework
11,heartcombo/devise,ruby,20984,3689,3966,136,14,2020-06-23 11:50:20+00:00,Flexible authentication solution for Rails with Warden.,https://github.com/heartcombo/devise
12,hashicorp/vagrant,ruby,20292,13336,8516,144,0,2020-07-28 22:13:13+00:00,Vagrant is a tool for building and distributing development environments.,https://github.com/hashicorp/vagrant
13,Homebrew/homebrew-cask,ruby,17250,113827,5472,115,81,2020-07-29 00:14:38+00:00,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,https://github.com/Homebrew/homebrew-cask
14,kilimchoi/engineering-blogs,ruby,17118,1702,77,0,0,2020-04-28 14:57:45+00:00,A curated list of engineering blogs,https://github.com/kilimchoi/engineering-blogs
15,ruby/ruby,ruby,17040,62492,0,1125,0,2020-07-28 19:53:37+00:00,The Ruby Programming Language [mirror],https://github.com/ruby/ruby
16,forem/forem,ruby,14490,6256,2874,0,0,2020-07-28 19:35:03+00:00,For empowering community 🌱,https://github.com/forem/forem
17,twbs/bootstrap-sass,ruby,12759,1032,821,61,13,2019-02-13 18:58:58+00:00,Official Sass port of Bootstrap 2 and 3.,https://github.com/twbs/bootstrap-sass
18,CocoaPods/CocoaPods,ruby,12610,8947,7968,206,166,2020-07-20 22:05:23+00:00,The Cocoa Dependency Manager.,https://github.com/CocoaPods/CocoaPods
19,diaspora/diaspora,ruby,12463,20231,4611,88,84,2020-07-08 20:05:52+00:00,"A privacy-aware, distributed, open source social network.",https://github.com/diaspora/diaspora
20,capistrano/capistrano,ruby,11558,1665,1074,101,24,2020-06-14 03:44:32+00:00,Remote multi-server automation tool,https://github.com/capistrano/capistrano
21,elastic/logstash,ruby,11526,9598,5642,228,29,2020-07-27 21:21:56+00:00,"Logstash - transport and process your logs, events, or other data",https://github.com/elastic/logstash
22,sinatra/sinatra,ruby,11026,4163,740,137,0,2020-07-18 19:25:52+00:00,Classy web-development dressed in a DSL (official / canonical repo),https://github.com/sinatra/sinatra
23,rubocop-hq/rubocop,ruby,10961,9461,3754,143,102,2020-07-28 15:36:58+00:00,"A Ruby static code analyzer and formatter, based on the community Ruby style guide.",https://github.com/rubocop-hq/rubocop
24,gollum/gollum,ruby,10852,2270,1022,81,0,2020-07-15 10:46:18+00:00,"A simple, Git-powered wiki with a sweet API and local frontend.",https://github.com/gollum/gollum
25,spree/spree,ruby,10531,21960,3812,277,133,2020-07-28 16:46:30+00:00,"Spree is an open source E-commerce platform for Rails 6 with a modern UX, optional PWA frontend, REST API, GraphQL, several official extensions and 3rd party integrations. Over 1 million downloads and counting! Check it out:",https://github.com/spree/spree
26,mperham/sidekiq,ruby,10463,3902,3448,141,0,2020-07-27 23:47:34+00:00,"Simple, efficient background processing for Ruby",https://github.com/mperham/sidekiq
27,tmuxinator/tmuxinator,ruby,10096,828,436,49,35,2020-06-23 18:38:20+00:00,Manage complex tmux sessions easily,https://github.com/tmuxinator/tmuxinator
28,postalhq/postal,ruby,9902,249,1077,0,0,2020-07-17 10:57:21+00:00,📨 A fully featured open source mail delivery platform for incoming & outgoing e-mail,https://github.com/postalhq/postal
29,jordansissel/fpm,ruby,9648,2126,1050,82,0,2020-03-08 03:54:46+00:00,"Effing package management! Build packages for multiple platforms (deb, rpm, etc) with great ease and sanity.",https://github.com/jordansissel/fpm
0,golang/go,go,74817,44200,39034,285,0,2020-07-28 16:59:04+00:00,The Go programming language,https://github.com/golang/go
1,kubernetes/kubernetes,go,68542,93077,35572,680,408,2020-07-28 23:31:47+00:00,Production-Grade Container Scheduling and Management,https://github.com/kubernetes/kubernetes
2,moby/moby,go,57691,38824,20332,324,85,2020-07-28 20:56:31+00:00,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,https://github.com/moby/moby
3,avelino/awesome-go,go,56262,3478,228,0,0,2020-07-28 02:18:03+00:00,"A curated list of awesome Go frameworks, libraries and software",https://github.com/avelino/awesome-go
4,gohugoio/hugo,go,45726,5874,4786,134,134,2020-07-27 20:12:54+00:00,The world’s fastest framework for building websites.,https://github.com/gohugoio/hugo
5,gin-gonic/gin,go,40324,1391,1426,22,13,2020-07-09 01:40:00+00:00,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",https://github.com/gin-gonic/gin
6,fatedier/frp,go,37715,845,1527,54,54,2020-04-27 08:50:34+00:00,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,https://github.com/fatedier/frp
7,astaxie/build-web-application-with-golang,go,35286,5111,279,0,0,2020-05-29 02:12:00+00:00,A golang ebook intro how to build a web with golang,https://github.com/astaxie/build-web-application-with-golang
8,gogs/gogs,go,35066,5384,4582,56,56,2020-07-17 14:49:32+00:00,Gogs is a painless self-hosted Git service,https://github.com/gogs/gogs
9,v2ray/v2ray-core,go,33980,5021,2241,346,243,2020-07-24 00:38:03+00:00,A platform for building proxies to bypass network restrictions.,https://github.com/v2ray/v2ray-core
10,syncthing/syncthing,go,32448,5936,4150,415,213,2020-07-28 14:46:42+00:00,Open Source Continuous File Synchronization,https://github.com/syncthing/syncthing
11,etcd-io/etcd,go,32134,16244,4979,193,185,2020-07-28 21:41:10+00:00,Distributed reliable key-value store for the most critical data of a distributed system,https://github.com/etcd-io/etcd
12,prometheus/prometheus,go,32121,8009,3525,174,153,2020-07-28 20:09:01+00:00,The Prometheus monitoring system and time series database.,https://github.com/prometheus/prometheus
13,junegunn/fzf,go,30909,1809,1659,89,0,2020-07-28 04:06:57+00:00,:cherry_blossom: A command-line fuzzy finder,https://github.com/junegunn/fzf
14,containous/traefik,go,29837,3650,3926,307,302,2020-07-15 18:50:03+00:00,The Cloud Native Edge Router,https://github.com/containous/traefik
15,caddyserver/caddy,go,29446,802,2281,83,73,2020-07-20 23:17:38+00:00,"Fast, multi-platform web server with automatic HTTPS",https://github.com/caddyserver/caddy
16,ethereum/go-ethereum,go,26371,11885,4942,173,131,2020-07-28 16:16:49+00:00,Official Go implementation of the Ethereum protocol,https://github.com/ethereum/go-ethereum
17,FiloSottile/mkcert,go,25035,137,182,11,11,2020-03-22 02:12:54+00:00,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,https://github.com/FiloSottile/mkcert
18,astaxie/beego,go,24550,3631,2756,30,6,2020-07-16 05:52:11+00:00,"beego is an open-source, high-performance web framework for the Go programming language.",https://github.com/astaxie/beego
19,pingcap/tidb,go,24434,11378,5256,113,105,2020-07-28 13:34:09+00:00,TiDB is an open source distributed HTAP database compatible with the MySQL protocol ,https://github.com/pingcap/tidb
20,istio/istio,go,23709,12959,10590,146,144,2020-07-28 22:43:40+00:00,"Connect, secure, control, and observe services.",https://github.com/istio/istio
21,hashicorp/terraform,go,23185,26390,15168,154,124,2020-07-24 21:37:59+00:00,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is an open source tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",https://github.com/hashicorp/terraform
22,minio/minio,go,23041,7036,4286,176,175,2020-07-28 20:20:50+00:00,"High Performance, Kubernetes Native Object Storage",https://github.com/minio/minio
23,rclone/rclone,go,22663,4638,3380,75,67,2020-07-28 16:18:31+00:00,"""rsync for cloud storage"" - Google Drive, Amazon Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Cloudfiles, Google Cloud Storage, Yandex Files",https://github.com/rclone/rclone
24,unknwon/the-way-to-go_ZH_CN,go,22398,1358,0,0,0,2020-07-09 08:11:13+00:00,《The Way to Go》中文译本，中文正式名《Go 入门指南》,https://github.com/unknwon/the-way-to-go_ZH_CN
25,drone/drone,go,21461,3699,1719,53,0,2020-07-12 18:19:18+00:00,"Drone is a Container-Native, Continuous Delivery Platform",https://github.com/drone/drone
26,wagoodman/dive,go,20914,387,193,24,23,2020-05-13 14:56:35+00:00,A tool for exploring each layer in a docker image,https://github.com/wagoodman/dive
27,go-gitea/gitea,go,20645,9869,5800,101,96,2020-07-28 20:54:08+00:00,"Git with a cup of tea, painless self-hosted git service",https://github.com/go-gitea/gitea
28,github/hub,go,19989,3286,1733,101,60,2020-05-25 22:08:52+00:00,A command-line tool that makes git easier to use with GitHub.,https://github.com/github/hub
29,hashicorp/consul,go,19797,12170,3867,115,6,2020-07-28 19:31:48+00:00,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",https://github.com/hashicorp/consul
